Scientific name	Authority	Status
Geocerthia serrana	"(Taczanowski, 1875)"	R
Upucerthia dumetaria	"Geoffroy Saint-Hilaire, 1832"	NR
Upucerthia dumetaria	"Geoffroy Saint-Hilaire, 1832"	R
Upucerthia saturatior	"Scott, 1900"	R
Upucerthia albigula	"Hellmayr, 1932"	R
Upucerthia jelskii	"(Cabanis, 1874)"	R
Upucerthia validirostris	"(Burmeister, 1861)"	R
Ochetorhynchus melanura	"(Gray, 1846)"	R
Cinclodes fuscus	"(Vieillot, 1818)"	NR
Cinclodes fuscus	"(Vieillot, 1818)"	R
Cinclodes albidiventris	"Sclater, 1860"	R
Cinclodes comechingonus	"Zotta & Gavio, 1944"	R
Cinclodes albiventris	"(Philippi & Landbeck, 1861)"	R
Cinclodes pabsti	"Sick, 1969"	R
Cinclodes oustaleti	"Scott, 1900"	R
Cinclodes olrogi	"Nores & Yzurieta, 1979"	R
Cinclodes excelsior	"(Sclater, 1860)"	NR
Cinclodes excelsior	"(Sclater, 1860)"	R
Cinclodes aricomae	"(Carriker, 1932)"	R
Cinclodes patagonicus	"(Gmelin, 1789)"	R
Cinclodes taczanowskii	"Berlepsch & Stolzmann, 1892"	R
Cinclodes nigrofumosus	"(D'Orbigny & Lafresnaye, 1838)"	R
Cinclodes antarcticus	"(Garnot, 1826)"	R
Cinclodes atacamensis	"(Philippi, 1857)"	R
Cinclodes palliatus	"(Tschudi, 1844)"	R
Furnarius minor	"Pelzeln, 1858"	R
Furnarius figulus	"(Lichtenstein, 1823)"	R
Furnarius leucopus	"Swainson, 1837"	R
Furnarius leucopus	"Swainson, 1837"	NR
Furnarius cinnamomeus	"(Lesson, 1844)"	NR
Furnarius torridus	"Sclater & Salvin, 1866"	R
Furnarius rufus	"(Gmelin, 1788)"	R
Furnarius cristatus	"Burmeister, 1888"	R
Sylviorthorhynchus desmursii	"Des Murs, 1847"	R
Aphrastura spinicauda	"(Gmelin, 1789)"	R
Aphrastura masafuerae	"(Philippi & Landbeck, 1866)"	R
Leptasthenura fuliginiceps	"(D'Orbigny & Lafresnaye, 1837)"	R
Leptasthenura yanacensis	"Carriker, 1933"	R
Leptasthenura platensis	"Reichenbach, 1853"	R
Leptasthenura aegithaloides	"(Kittlitz, 1830)"	R
Leptasthenura striolata	"(Pelzeln, 1856)"	R
Leptasthenura pileata	"Sclater, 1881"	R
Leptasthenura xenothorax	"Chapman, 1921"	R
Leptasthenura striata	"(Philippi & Landbeck, 1863)"	R
Leptasthenura andicola	"Sclater, 1870"	R
Leptasthenura setaria	"(Temminck, 1824)"	R
Asthenes perijana	"(Phelps, 1977)"	R
Asthenes coryi	"(Berlepsch, 1888)"	R
Asthenes fuliginosa	"(Lafresnaye, 1843)"	R
Asthenes griseomurina	"(Sclater, 1882)"	R
Asthenes palpebralis	"(Cabanis, 1873)"	R
Asthenes vilcabambae	"(Vaurie, Weske & Terborgh, 1972)"	R
Asthenes helleri	"(Chapman, 1923)"	R
Asthenes harterti	"(Berlepsch, 1901)"	R
Asthenes moreirae	"(Ribeiro, 1906)"	R
Asthenes pyrrholeuca	"(Vieillot, 1817)"	R
Asthenes baeri	"(Berlepsch, 1906)"	R
Asthenes pudibunda	"(Sclater, 1874)"	R
Asthenes ottonis	"(Berlepsch, 1901)"	R
Asthenes heterura	"(Berlepsch, 1901)"	R
Pseudasthenes cactorum	"(Koepcke, 1959)"	R
Asthenes modesta	"(Eyton, 1851)"	R
Asthenes luizae	"Vieillard, 1990"	R
Asthenes dorbignyi	"(Reichenbach, 1853)"	R
Asthenes dorbignyi	"(Reichenbach, 1853)"	NR
Asthenes huancavelicae	"Morrison, 1938"	NR
Asthenes usheri	"Morrison, 1947"	NR
Asthenes arequipae	"(Sclater & Salvin, 1869)"	NR
Asthenes berlepschi	"(Hellmayr, 1917)"	R
Pseudasthenes steinbachi	"(Hartert, 1909)"	R
Pseudasthenes humicola	"(Kittlitz, 1830)"	R
Pseudasthenes patagonica	"(D'Orbigny, 1839)"	R
Asthenes humilis	"(Cabanis, 1873)"	R
Asthenes wyatti	"(Sclater & Salvin, 1871)"	R
Asthenes sclateri	"(Cabanis, 1878)"	R
Asthenes punensis	"(Berlepsch & Stolzmann, 1901)"	NR
Asthenes sclateri	"(Cabanis, 1878)"	NR
Asthenes anthoides	"(King, 1831)"	R
Asthenes urubambensis	"(Chapman, 1919)"	R
Asthenes flammulata	"(Jardine, 1850)"	R
Asthenes virgata	"(Sclater, 1874)"	R
Asthenes maculicauda	"(Berlepsch, 1901)"	R
Asthenes hudsoni	"(Sclater, 1874)"	R
Schoeniophylax phryganophilus	"(Vieillot, 1817)"	R
Synallaxis ruficapilla	"Vieillot, 1819"	R
Synallaxis whitneyi	"Pacheco & Gonzaga, 1995"	R
Synallaxis frontalis	"Pelzeln, 1859"	R
Synallaxis azarae	"d'Orbigny, 1835"	R
Synallaxis courseni	"Blake, 1971"	R
Synallaxis elegantior	"P.L. Sclater, 1862"	NR
Synallaxis superciliosa	"Cabanis, 1883"	NR
Synallaxis albescens	"Temminck, 1823"	R
Synallaxis beverlyae	"Hilty and Ascanio, 2009"	R
Synallaxis spixi	"Sclater, 1856"	R
Synallaxis brachyura	"Lafresnaye, 1843"	R
Synallaxis albigularis	"Sclater, 1858"	R
Synallaxis hypospodia	"Sclater, 1874"	R
Synallaxis infuscata	"Pinto, 1950"	R
Synallaxis moesta	"Sclater, 1856"	R
Synallaxis macconnelli	"Chubb, 1919"	R
Synallaxis cabanisi	"Berlepsch & Leverk�hn, 1890"	R
Synallaxis subpudica	"Sclater, 1874"	R
Synallaxis tithys	"Taczanowski, 1877"	R
Synallaxis cinerascens	"Temminck, 1823"	R
Synallaxis propinqua	"Pelzeln, 1859"	R
Synallaxis maranonica	"Taczanowski, 1879"	R
Synallaxis gujanensis	"(Gmelin, 1789)"	R
Synallaxis albilora	"Pelzeln, 1856"	R
Synallaxis rutilans	"Temminck, 1823"	R
Synallaxis cherriei	"Gyldenstolpe, 1930"	R
Synallaxis unirufa	"Lafresnaye, 1843"	R
Synallaxis castanea	"Sclater, 1856"	R
Synallaxis fuscorufa	"Sclater, 1882"	R
Synallaxis zimmeri	"Koepcke, 1957"	R
Synallaxis erythrothorax	"Sclater, 1855"	R
Synallaxis cinnamomea	"Lafresnaye, 1843"	R
Synallaxis stictothorax	"Sclater, 1859"	R
Synallaxis candei	"d'Orbigny & Lafresnaye, 1838"	R
Synallaxis kollari	"Pelzeln, 1856"	R
Synallaxis scutata	"Sclater, 1859"	R
Siptornopsis hypochondriaca	"(Salvin, 1895)"	R
Gyalophylax hellmayri	"Reiser, 1905"	R
Hellmayrea gularis	"(Lafresnaye, 1843)"	R
Cranioleuca erythrops	"(Sclater, 1860)"	R
Cranioleuca antisiensis	"(Sclater, 1859)"	NR
Cranioleuca antisiensis	"(Sclater, 1859)"	R
Cranioleuca baroni	"(Salvin, 1895)"	R
Cranioleuca pallida	"(Wied, 1831)"	R
Cranioleuca curtata	"(Sclater, 1870)"	R
Cranioleuca demissa	"(Salvin & Godman, 1884)"	R
Cranioleuca hellmayri	"(Bangs, 1907)"	R
Cranioleuca subcristata	"(Sclater, 1874)"	R
Cranioleuca pyrrhophia	"(Vieillot, 1818)"	R
Cranioleuca henricae	"Maijer & Fjelds�, 1997"	R
Cranioleuca obsoleta	"(Reichenbach, 1853)"	R
Cranioleuca marcapatae	"Zimmer, 1935"	R
Cranioleuca albiceps	"(D'Orbigny & Lafresnaye, 1837)"	R
Cranioleuca semicinerea	"(Reichenbach, 1853)"	R
Cranioleuca albicapilla	"(Cabanis, 1873)"	R
Cranioleuca dissita	"Wetmore, 1957"	NR
Cranioleuca vulpina	"(Pelzeln, 1856)"	NR
Cranioleuca vulpina	"(Pelzeln, 1856)"	R
Cranioleuca vulpecula	"(Sclater & Salvin, 1866)"	R
Cranioleuca muelleri	"Hellmayr, 1911"	R
Cranioleuca gutturata	"(D'Orbigny & Lafresnaye, 1838)"	R
Cranioleuca sulphurifera	"(Burmeister, 1869)"	R
Certhiaxis cinnamomeus	"(Gmelin, 1788)"	R
Certhiaxis mustelinus	"(Sclater, 1874)"	R
Thripophaga cherriei	"Berlepsch & Hartert, 1902"	R
Thripophaga macroura	"(Wied, 1821)"	R
Thripophaga berlepschi	"Hellmayr, 1905"	R
Thripophaga fusciceps	"Sclater, 1889"	R
Phacellodomus rufifrons	"(Wied, 1821)"	R
Phacellodomus sibilatrix	"Sclater, 1879"	R
Phacellodomus striaticeps	"(D'Orbigny & Lafresnaye, 1838)"	R
Phacellodomus striaticollis	"(D'Orbigny & Lafresnaye, 1838)"	NR
Phacellodomus striaticollis	"(D'Orbigny & Lafresnaye, 1838)"	R
Phacellodomus maculipectus	"Cabanis, 1883"	R
Phacellodomus ruber	"(Vieillot, 1817)"	R
Phacellodomus dorsalis	"Salvin, 1895"	R
Phacellodomus erythrophthalmus	"(Wied, 1821)"	NR
Phacellodomus erythrophthalmus	"(Wied, 1821)"	R
Phacellodomus ferrugineigula	"(Pelzeln, 1858)"	R
Clibanornis dendrocolaptoides	"(Pelzeln, 1859)"	R
Spartonoica maluroides	"(D'Orbigny & Lafresnaye, 1837)"	R
Phleocryptes melanops	"(Vieillot, 1817)"	R
Limnornis curvirostris	"Gould, 1839"	R
Limnoctites rectirostris	"Gould, 1839"	R
Anumbius annumbi	"(Vieillot, 1817)"	R
Coryphistera alaudina	"Burmeister, 1860"	R
Ochetorhynchus phoenicurus	"(Gould, 1839)"	R
Siptornis striaticollis	"(Lafresnaye, 1843)"	R
Metopothrix aurantiaca	"Sclater & Salvin, 1866"	R
Xenerpestes minlosi	"Berlepsch, 1886"	R
Xenerpestes singularis	"(Taczanowski & Berlepsch, 1885)"	R
Premnornis guttuliger	"(Sclater, 1864)"	R
Premnoplex brunnescens	"(Sclater, 1856)"	R
Premnoplex tatei	"Chapman, 1925"	R
Roraimia adusta	"(Salvin & Godman, 1884)"	R
Acrobatornis fonsecai	"Pacheco, Whitney & Gonzaga, 1996"	R
Margarornis rubiginosus	"Lawrence, 1865"	R
Margarornis stellatus	"Sclater & Salvin, 1873"	R
Margarornis bellulus	"Nelson, 1912"	R
Margarornis squamiger	"(d'Orbigny & Lafresnaye, 1838)"	R
Pseudoseisura cristata	"(Spix, 1824)"	NR
Pseudoseisura cristata	"(Spix, 1824)"	R
Pseudoseisura unirufa	"(d'Orbigny & Lafresnaye, 1838)"	R
Pseudoseisura lophotes	"(Reichenbach, 1853)"	R
Pseudoseisura gutturalis	"(D'Orbigny & Lafresnaye, 1838)"	R
Pseudocolaptes lawrencii	"Ridgway, 1878"	R
Pseudocolaptes lawrencii	"Ridgway, 1878"	NR
Pseudocolaptes johnsoni	"L�nnberg & Rendahl, 1922"	NR
Pseudocolaptes boissonneautii	"(Lafresnaye, 1840)"	R
Berlepschia rikeri	"(Ridgway, 1886)"	R
Anabacerthia amaurotis	"(Temminck, 1823)"	R
Anabacerthia variegaticeps	"(Sclater, 1857)"	R
Anabacerthia striaticollis	"Lafresnaye, 1840"	R
Syndactyla guttulata	"(Sclater, 1858)"	R
Syndactyla subalaris	"(Sclater, 1859)"	R
Syndactyla rufosuperciliata	"(Lafresnaye, 1832)"	R
Syndactyla ruficollis	"(Taczanowski, 1884)"	R
Syndactyla dimidiata	"(Pelzeln, 1859)"	R
Simoxenops ucayalae	"(Chapman, 1928)"	R
Simoxenops striatus	"(Carriker, 1935)"	R
Ancistrops strigilatus	"(Spix, 1825)"	R
Hyloctistes subulatus	"(Spix, 1824)"	R
Philydor ruficaudatum	"(D'Orbigny & Lafresnaye, 1838)"	R
Philydor pyrrhodes	"(Cabanis, 1848)"	R
Philydor fuscipenne	"Salvin, 1866"	R
Philydor ochrogaster	"Hellmayr, 1917"	NR
Philydor erythrocercum	"(Pelzeln, 1859)"	NR
Philydor erythrocercum	"(Pelzeln, 1859)"	R
Philydor erythropterum	"(Sclater, 1856)"	R
Philydor lichtensteini	"Cabanis & Heine, 1859"	R
Philydor rufum	"(Vieillot, 1818)"	R
Philydor atricapillus	"(Wied, 1821)"	R
Philydor novaesi	"Teixeira & Gonzaga, 1983"	R
Anabazenops dorsalis	"Sclater & Salvin, 1880"	R
Anabazenops fuscus	"(Vieillot, 1816)"	R
Cichlocolaptes leucophrus	"(Jardine & Selby, 1830)"	R
Thripadectes ignobilis	"(Sclater & Salvin, 1879)"	R
Thripadectes rufobrunneus	"(Lawrence, 1865)"	R
Thripadectes virgaticeps	"Lawrence, 1874"	R
Thripadectes melanorhynchus	"(Tschudi, 1844)"	R
Thripadectes holostictus	"(Sclater & Salvin, 1876)"	R
Thripadectes flammulatus	"(Eyton, 1849)"	R
Thripadectes scrutator	"Taczanowski, 1874"	R
Automolus ochrolaemus	"(Tschudi, 1844)"	R
Automolus infuscatus	"(Sclater, 1856)"	R
Automolus infuscatus	"(Sclater, 1856)"	NR
Automolus paraensis	"E. Hartert, 1902"	NR
Automolus leucophthalmus	"(Wied, 1821)"	R
Syndactyla roraimae	"(Hellmayr, 1917)"	R
Automolus melanopezus	"(Sclater, 1858)"	R
Automolus rubiginosus	"(Sclater, 1857)"	NR
Automolus rubiginosus	"(Sclater, 1857)"	R
Automolus rufipectus	"Bangs, 1898"	R
Automolus rufipileatus	"(Pelzeln, 1859)"	R
Automolus lammi	"(Zimmer, 1947)"	UR
Hylocryptus rectirostris	"(Wied, 1831)"	R
Hylocryptus erythrocephalus	"Chapman, 1919"	R
Sclerurus mexicanus	"Sclater, 1857"	R
Sclerurus rufigularis	"Pelzeln, 1868"	R
Sclerurus albigularis	"Sclater & Salvin, 1869"	R
Sclerurus caudacutus	"(Vieillot, 1816)"	R
Sclerurus scansor	"(M�n�tries, 1835)"	R
Sclerurus guatemalensis	"(Hartlaub, 1844)"	R
Lochmias nematura	"(Lichtenstein, 1823)"	R
Heliobletus contaminatus	"Berlepsch, 1885"	R
Microxenops milleri	"(Chapman, 1914)"	R
Xenops tenuirostris	"Pelzeln, 1859"	R
Xenops minutus	"(Sparrman, 1788)"	R
Xenops rutilans	"Temminck, 1821"	R
Megaxenops parnaguae	"Reiser, 1905"	R
Pygarrhichas albogularis	"(King, 1831)"	R
Dendrocincla tyrannina	"(Lafresnaye, 1851)"	R
Dendrocincla turdina	"(Lichtenstein, 1820)"	NR
Dendrocincla fuliginosa	"(Vieillot, 1818)"	NR
Dendrocincla fuliginosa	"(Vieillot, 1818)"	R
Dendrocincla anabatina	"Sclater, 1859"	R
Dendrocincla merula	"(Lichtenstein, 1820)"	R
Dendrocincla homochroa	"(Sclater, 1859)"	R
Deconychura longicauda	"(Pelzeln, 1868)"	R
Certhiasomus stictolaemus	"(Pelzeln, 1868)"	R
Sittasomus griseicapillus	"(Vieillot, 1818)"	R
Glyphorynchus spirurus	"(Vieillot, 1819)"	R
Drymornis bridgesii	"(Eyton, 1849)"	R
Nasica longirostris	"(Vieillot, 1818)"	R
Dendrexetastes rufigula	"(Lesson, 1844)"	R
Hylexetastes stresemanni	"Snethlage, 1925"	R
Hylexetastes perrotii	"(Lsfresnaye, 1844)"	NR
Hylexetastes perrotii	"(Lsfresnaye, 1844)"	R
Hylexetastes uniformis	"Hellmayr, 1909"	R
Hylexetastes brigidai	"da Silva, Novaes & Oren, 1995"	R
Xiphocolaptes promeropirhynchus	"(Lesson, 1840)"	R
Xiphocolaptes orenocensis	"Berlepsch & Hartlet, 1902"	NR
Xiphocolaptes albicollis	"(Vieillot, 1818)"	R
Xiphocolaptes falcirostris	"(Spix, 1824)"	R
Xiphocolaptes franciscanus	"E. Snethlage, 1927"	NR
Xiphocolaptes major	"(Vieillot, 1818)"	R
Dendrocolaptes certhia	"(Boddaert, 1783)"	NR
Dendrocolaptes certhia	"(Boddaert, 1783)"	R
Dendrocolaptes sanctithomae	"(Lafresnaye, 1852)"	R
Dendrocolaptes concolor	"Pelzeln, 1868"	NR
Dendrocolaptes hoffmannsi	"Hellmayr, 1909"	R
Dendrocolaptes picumnus	"Lichtenstein, 1820"	R
Dendrocolaptes platyrostris	"Spix, 1824"	R
Dendroplex picus	"(Gmelin, 1788)"	R
Dendroplex kienerii	"(Zimmer, 1934)"	R
Xiphorhynchus obsoletus	"(Lichtenstein, 1820)"	R
Xiphorhynchus fuscus	"(Vieillot, 1818)"	R
Xiphorhynchus ocellatus	"(Spix, 1824)"	R
Xiphorhynchus spixii	"(Lesson, 1830)"	R
Xiphorhynchus elegans	"(Pelzeln, 1868)"	R
Xiphorhynchus pardalotus	"(Vieillot, 1818)"	R
Xiphorhynchus guttatus	"(Lichtenstein, 1820)"	NR
Xiphorhynchus guttatus	"(Lichtenstein, 1820)"	NR
Xiphorhynchus guttatus	"(Lichtenstein, 1820)"	R
Xiphorhynchus eytoni	"(Sclater, 1854)"	NR
Xiphorhynchus susurrans	"(Jardine, 1847)"	R
Xiphorhynchus flavigaster	"Swainson, 1827"	R
Xiphorhynchus lachrymosus	"(Lawrence, 1862)"	R
Xiphorhynchus erythropygius	"(Sclater, 1859)"	R
Xiphorhynchus triangularis	"(Lafresnaye, 1842)"	R
Lepidocolaptes leucogaster	"(Swainson, 1827)"	R
Lepidocolaptes souleyetii	"(Des Murs, 1849)"	R
Lepidocolaptes angustirostris	"(Vieillot, 1818)"	R
Lepidocolaptes affinis	"(Lafresnaye, 1839)"	NR
Lepidocolaptes affinis	"(Lafresnaye, 1839)"	R
Lepidocolaptes lacrymiger	"(Des Murs, 1849)"	R
Lepidocolaptes squamatus	"(Lichtenstein, 1822)"	NR
Lepidocolaptes squamatus	"(Lichtenstein, 1822)"	R
Lepidocolaptes falcinellus	"(Cabanis & Heine, 1859)"	R
Lepidocolaptes albolineatus	"(Lafresnaye, 1846)"	R
Drymotoxeres pucherani	"(Des Murs, 1849)"	R
Campylorhamphus trochilirostris	"(Lichtenstein, 1820)"	R
Campylorhamphus falcularius	"(Vieillot, 1822)"	R
Campylorhamphus pusillus	"(Sclater, 1860)"	R
Campylorhamphus procurvoides	"(Lafresnaye, 1850)"	R
Menura alberti	"Bonaparte, 1850"	R
Menura novaehollandiae	"Latham, 1801"	R
Atrichornis rufescens	"(Ramsay, 1867)"	R
Atrichornis clamosus	"(Gould, 1844)"	R
Ailuroedus buccoides	"(Temminck, 1835)"	R
Ailuroedus melanotis	"(Gray, 1858)"	R
Ailuroedus crassirostris	"(Paykull, 1815)"	R
Scenopoeetes dentirostris	"(Ramsay, 1876)"	R
Archboldia papuensis	"Rand, 1940"	NR
Archboldia papuensis	"Rand, 1940"	R
Archboldia sanfordi	"Mayr & Gilliard, 1950"	NR
Amblyornis inornata	"(Schlegel, 1871)"	R
Amblyornis macgregoriae	"De Vis, 1890"	R
Amblyornis subalaris	"Sharpe, 1884"	R
Amblyornis flavifrons	"Rothschild, 1895"	R
Prionodura newtoniana	"De Vis, 1883"	R
Sericulus aureus	"(Linnaeus, 1758)"	R
Sericulus bakeri	"(Chapin, 1929)"	R
Sericulus chrysocephalus	"(Lewin, 1808)"	R
Sericulus ardens	"(D'Albertis & Salvadori, 1879)"	UR
Ptilonorhynchus violaceus	"(Vieillot, 1816)"	R
Chlamydera guttata	"Gould, 1862"	R
Chlamydera maculata	"(Gould, 1837)"	R
Chlamydera nuchalis	"(Jardine & Selby, 1830)"	R
Chlamydera lauterbachi	"Reichenow, 1897"	R
Chlamydera cerviniventris	"Gould, 1850"	R
Cormobates placens	"(Sclater, 1874)"	R
Cormobates leucophaea	"(Latham, 1801)"	R
Climacteris affinis	"Blyth, 1864"	R
Climacteris erythrops	"Gould, 1841"	R
Climacteris picumnus	"Temminck & Laugier, 1824"	R
Climacteris melanurus	"Gould, 1843"	R
Climacteris rufus	"Gould, 1841"	R
Sipodotus wallacii	"Gray, 1862"	R
Malurus campbelli	"Schodde & Weatherly, 1982"	NR
Malurus grayi	"(Wallace, 1862)"	NR
Malurus grayi	"(Wallace, 1862)"	R
Malurus alboscapulatus	"Meyer, 1874"	R
Malurus melanocephalus	"(Latham, 1801)"	R
Malurus leucopterus	"Dumont, 1824"	R
Malurus cyaneus	"(Latham, 1783)"	R
Malurus splendens	"(Quoy & Gaimard, 1830)"	R
Malurus lamberti	"Vigors & Horsfield, 1827"	R
Malurus amabilis	"Gould, 1852"	R
Malurus elegans	"Gould, 1837"	R
Malurus pulcherrimus	"Gould, 1844"	R
Malurus coronatus	"Gould, 1858"	R
Malurus cyanocephalus	"(Quoy & Gaimard, 1830)"	R
Clytomyias insignis	"Sharpe, 1879"	R
Stipiturus ruficeps	"Campbell, 1899"	R
Stipiturus malachurus	"(Shaw, 1798)"	R
Stipiturus mallee	"Campbell, 1908"	R
Amytornis barbatus	"Favaloro & McEvey, 1968"	R
Amytornis woodwardi	"Hartert, 1905"	R
Amytornis dorotheae	"(Mathews, 1914)"	R
Amytornis striatus	"(Gould, 1840)"	NR
Amytornis striatus	"(Gould, 1840)"	R
Amytornis merrotsyi	"Mellor, 1913"	R
Amytornis goyderi	"(Gould, 1875)"	R
Amytornis textilis	"(Dumont, 1824)"	R
Amytornis purnelli	"(Mathews, 1914)"	NR
Amytornis purnelli	"(Mathews, 1914)"	R
Amytornis ballarae	"Condon, 1969"	R
Amytornis housei	"(Milligan, 1902)"	R
Moho braccatus	"(Cassin, 1855)"	R
Moho apicalis	"Gould, 1860"	R
Moho bishopi	"(Rothschild, 1893)"	R
Moho nobilis	"(Merrem, 1786)"	R
Chaetoptila angustipluma	"(Peale, 1848)"	R
Notiomystis cincta	"(Du Bus & Gisignies, 1839)"	R
Xanthotis flaviventer	"(Lesson, 1828)"	R
Xanthotis polygrammus	"(Gray, 1861)"	R
Xanthotis macleayanus	"(Ramsay, 1875)"	R
Xanthotis provocator	"(Layard, 1875)"	R
Lichenostomus subfrenatus	"(Salvadori, 1876)"	R
Lichenostomus obscurus	"(De Vis, 1897)"	R
Lichenostomus frenatus	"(Ramsay, 1875)"	R
Lichenostomus hindwoodi	"(Longmore & Boles, 1983)"	R
Lichenostomus chrysops	"(Latham, 1801)"	R
Lichenostomus versicolor	"(Gould, 1843)"	R
Lichenostomus fasciogularis	"(Gould, 1854)"	R
Lichenostomus virescens	"(Vieillot, 1817)"	R
Lichenostomus flavus	"(Gould, 1843)"	R
Lichenostomus unicolor	"(Gould, 1843)"	R
Lichenostomus leucotis	"(Latham, 1801)"	R
Lichenostomus flavicollis	"(Vieillot, 1817)"	R
Lichenostomus melanops	"(Latham, 1801)"	R
Lichenostomus cratitius	"(Gould, 1841)"	R
Lichenostomus keartlandi	"(North, 1895)"	R
Lichenostomus flavescens	"(Gould, 1840)"	R
Lichenostomus fuscus	"(Gould, 1837)"	R
Lichenostomus plumulus	"(Gould, 1841)"	R
Lichenostomus ornatus	"(Gould, 1838)"	R
Lichenostomus penicillatus	"(Gould, 1837)"	R
Guadalcanaria inexpectata	"(Hartert, 1929)"	R
Oreornis chrysogenys	"van Oort, 1910"	R
Meliphaga montana	"(Salvadori, 1880)"	R
Meliphaga mimikae	"(Ogilvie-Grant, 1911)"	R
Meliphaga orientalis	"(Meyer, 1894)"	R
Meliphaga albonotata	"(Salvadori, 1876)"	R
Meliphaga aruensis	"(Sharpe, 1884)"	R
Meliphaga analoga	"(Reichenbach, 1852)"	R
Meliphaga vicina	"(Rothschild & Hartert, 1912)"	R
Meliphaga gracilis	"(Gould, 1866)"	R
Meliphaga notata	"(Gould, 1867)"	R
Meliphaga flavirictus	"(Salvadori, 1880)"	R
Meliphaga lewinii	"(Swainson, 1837)"	R
Meliphaga albilineata	"(White, 1917)"	NR
Meliphaga albilineata	"(White, 1917)"	R
Meliphaga fordiana	"Schodde, 1989"	NR
Meliphaga reticulata	"Temminck, 1824"	R
Meliphaga cinereifrons	"Rand, 1936"	UR
Foulehaio carunculatus	"(Gmelin, 1788)"	R
Gymnomyza viridis	"(Layard, 1875)"	R
Gymnomyza samoensis	"(Hombron & Jacquinot, 1841)"	R
Gymnomyza aubryana	"(Verreaux & Des Murs, 1860)"	R
Manorina melanophrys	"(Latham, 1801)"	R
Manorina melanocephala	"(Latham, 1801)"	R
Manorina flavigula	"(Gould, 1840)"	NR
Manorina flavigula	"(Gould, 1840)"	R
Manorina melanotis	"(Wilson, 1911)"	R
Entomyzon cyanotis	"(Latham, 1801)"	R
Melithreptus lunatus	"(Vieillot, 1802)"	R
Melithreptus affinis	"(Lesson, 1839)"	R
Melithreptus albogularis	"Gould, 1848"	R
Melithreptus laetior	"(Gould, 1875)"	NR
Melithreptus gularis	"(Gould, 1837)"	NR
Melithreptus gularis	"(Gould, 1837)"	R
Melithreptus validirostris	"(Gould, 1837)"	R
Melithreptus brevirostris	"(Vigors & Horsfield, 1827)"	R
Anthornis melanocephala	Gray 1843	R
Anthornis melanura	"(Sparrman, 1786)"	R
Prosthemadera novaeseelandiae	"(Gmelin, 1788)"	R
Pycnopygius ixoides	"(Salvadori, 1878)"	R
Pycnopygius cinereus	"(Sclater, 1873)"	R
Pycnopygius stictocephalus	"(Salvadori, 1876)"	R
Melitograis gilolensis	"(Bonaparte, 1850)"	R
Philemon meyeri	"Salvadori, 1875"	R
Philemon inornatus	"(Gray, 1846)"	R
Philemon kisserensis	"Meyer, 1885"	NR
Philemon citreogularis	"(Gould, 1837)"	NR
Philemon citreogularis	"(Gould, 1837)"	R
Philemon brassi	"Rand, 1940"	R
Philemon fuscicapillus	"(Wallace, 1862)"	R
Philemon moluccensis	"(Gmelin, 1788)"	R
Philemon subcorniculatus	"(Hombron & Jacquinot, 1841)"	R
Philemon buceroides	"(Swainson, 1838)"	R
Philemon buceroides	"(Swainson, 1838)"	NR
Philemon novaeguineae	"(M�ller, 1843)"	R
Philemon albitorques	"Sclater, 1877"	R
Philemon cockerelli	"Sclater, 1877"	R
Philemon eichhorni	"Rothschild & Hartert, 1924"	R
Philemon argenticeps	"(Gould, 1840)"	R
Philemon corniculatus	"(Latham, 1790)"	R
Philemon diemenensis	"(Lesson, 1831)"	R
Plectorhyncha lanceolata	"Gould, 1838"	R
Acanthagenys rufogularis	"Gould, 1838"	R
Anthochaera lunulata	"Gould, 1838"	R
Anthochaera chrysoptera	"(Latham, 1801)"	R
Anthochaera chrysoptera	"(Latham, 1801)"	NR
Anthochaera carunculata	"(White, 1790)"	R
Anthochaera paradoxa	"(Daudin, 1800)"	R
Xanthomyza phrygia	"(Shaw, 1794)"	R
Melipotes gymnops	"Sclater, 1873"	R
Melipotes fumigatus	"Meyer, 1886"	R
Melipotes carolae	"Beehler, Prawiradilaga, de Fretes & Kemp, 2007"	NR
Melipotes ater	"Rothschild & Hartert, 1911"	R
Macgregoria pulchra	"De Vis, 1897"	R
Melidectes fuscus	"(De Vis, 1897)"	R
Melidectes whitemanensis	"(Gilliard, 1960)"	R
Melidectes nouhuysi	"(van Oort, 1910)"	R
Melidectes princeps	"Mayr & Gilliard, 1951"	R
Melidectes ochromelas	"(Meyer, 1875)"	R
Melidectes leucostephes	"(Meyer, 1875)"	R
Melidectes belfordi	"(De Vis, 1890)"	R
Melidectes rufocrissalis	"(Reichenow, 1915)"	R
Melidectes foersteri	"(Rothschild & Hartert, 1911)"	R
Melidectes torquatus	"Sclater, 1873"	R
Melidectes sclateri	"(Gray, 1870)"	R
Ptiloprora plumbea	"(Salvadori, 1894)"	R
Ptiloprora meekiana	"(Rothschild & Hartert, 1907)"	R
Ptiloprora erythropleura	"(Salvadori, 1876)"	R
Ptiloprora mayri	"Hartert, 1930"	R
Ptiloprora guisei	"(De Vis, 1894)"	R
Ptiloprora perstriata	"(De Vis, 1898)"	R
Myza celebensis	"(Meyer & Wiglesworth, 1895)"	R
Myza sarasinorum	"Meyer & Wiglesworth, 1895"	R
Melilestes megarhynchus	"(Gray, 1858)"	R
Stresemannia bougainvillei	"(Mayr, 1932)"	R
