Scientific name	Authority	Status
Odontophorus speciosus	"Tschudi, 1843"	R
Odontophorus dialeucos	"Wetmore, 1963"	R
Odontophorus strophium	"(Gould, 1844)"	R
Odontophorus columbianus	"(Gould, 1850)"	R
Odontophorus leucolaemus	"Salvin, 1867"	R
Odontophorus balliviani	"Gould, 1846"	R
Odontophorus stellatus	"(Gould, 1843)"	R
Odontophorus guttatus	"(Gould, 1838)"	R
Dactylortyx thoracicus	"(Gambel, 1848)"	R
Cyrtonyx montezumae	"(Vigors, 1830)"	R
Cyrtonyx sallei	"J. Verreaux, 1859"	NR
Cyrtonyx ocellatus	"(Gould, 1837)"	R
Rhynchortyx cinctus	"(Salvin, 1876)"	R
Meleagris gallopavo	"Linnaeus, 1758"	R
Meleagris ocellata	"(Cuvier, 1820)"	R
Bonasa bonasia	"(Linnaeus, 1758)"	R
Bonasa sewerzowi	"(Przewalski, 1876)"	R
Bonasa umbellus	"(Linnaeus, 1766)"	R
Tetrao tetrix	"(Linnaeus, 1758)"	R
Tetrao mlokosiewiczi	"Taczanowski, 1875"	R
Tetrao urogallus	"Linnaeus, 1758"	R
Tetrao parvirostris	"Bonaparte, 1856"	R
Centrocercus urophasianus	"(Bonaparte, 1827)"	NR
Centrocercus urophasianus	"(Bonaparte, 1827)"	R
Centrocercus minimus	"Young, Braun, Oyler-McCance, Hupp & Quinn, 2000"	R
Dendragapus falcipennis	"(Hartlaub, 1855)"	R
Dendragapus canadensis	"(Linnaeus, 1758)"	R
Dendragapus obscurus	"(Say, 1823)"	NR
Dendragapus obscurus	"(Say, 1823)"	R
Dendragapus fuliginosus	"(Ridgway, 1873)"	R
Tympanuchus phasianellus	"(Linnaeus, 1758)"	R
Tympanuchus cupido	"(Linnaeus, 1758)"	R
Tympanuchus pallidicinctus	"(Ridgway, 1873)"	R
Lagopus lagopus	"(Linnaeus, 1758)"	R
Lagopus muta	"(Montin, 1776)"	R
Lagopus leucura	"(Richardson, 1831)"	R
Lerwa lerwa	"(Hodgson, 1833)"	R
Tetraophasis obscurus	"(Verreaux, 1869)"	R
Tetraophasis szechenyii	"Madar�sz, 1885"	R
Tetraogallus caucasicus	"(Pallas, 1811)"	R
Tetraogallus caspius	"(Gmelin, 1784)"	R
Tetraogallus tibetanus	"Gould, 1854"	R
Tetraogallus altaicus	"(Gebler, 1836)"	R
Tetraogallus himalayensis	"Gray, 1843"	R
Alectoris graeca	"(Meisner, 1804)"	R
Alectoris whitakeri	"Schiebel, 1934"	NR
Alectoris chukar	"(Gray, 1830)"	R
Alectoris philbyi	"Lowe, 1934"	R
Alectoris magna	"(Przewalski, 1876)"	R
Alectoris barbara	"(Reichenow, 1896)"	R
Alectoris rufa	"(Linnaeus, 1758)"	R
Alectoris melanocephala	"(R�ppell, 1835)"	R
Ammoperdix griseogularis	"(Brandt, 1843)"	R
Ammoperdix heyi	"(Temminck, 1825)"	R
Ptilopachus petrosus	"(Gmelin, 1789)"	R
Francolinus francolinus	"(Linnaeus, 1766)"	R
Francolinus pictus	"(Jardine & Selby, 1828)"	R
Francolinus pintadeanus	"(Scopoli, 1786)"	R
Francolinus pondicerianus	"(Gmelin, 1789)"	R
Francolinus gularis	"(Temminck, 1815)"	R
Francolinus coqui	"(Smith, 1836)"	R
Francolinus albogularis	"Hartlaub, 1854"	R
Francolinus schlegelii	"Heuglin, 1863"	R
Francolinus lathami	"Hartlaub, 1854"	R
Francolinus sephaena	"(Smith, 1836)"	R
Francolinus streptophorus	"Ogilvie-Grant, 1891"	R
Francolinus finschi	"Barboza du Bocage, 1881"	R
Francolinus africanus	"Stephens, 1819"	R
Francolinus levaillantii	"(Valenciennes, 1825)"	R
Francolinus psilolaemus	"Gray, 1867"	R
Francolinus shelleyi	"Ogilvie-Grant, 1891"	R
Francolinus levaillantoides	"(Smith, 1836)"	R
Francolinus nahani	"Dubois, 1905"	R
Francolinus hartlaubi	"Bocage, 1869"	R
Francolinus bicalcaratus	"(Linnaeus, 1766)"	R
Francolinus clappertoni	"Children, 1826"	R
Francolinus icterorhynchus	"Heuglin, 1863"	R
Francolinus harwoodi	"Blundell & Lovat, 1899"	R
Francolinus adspersus	"Waterhouse, 1838"	R
Francolinus capensis	"(Gmelin, 1789)"	R
Francolinus hildebrandti	"Cabanis, 1878"	R
Francolinus natalensis	"Smith, 1834"	R
Francolinus ahantensis	"Temminck, 1851"	R
Francolinus squamatus	"Cassin, 1857"	R
Francolinus griseostriatus	"Ogilvie-Grant, 1890"	R
Francolinus leucoscepus	"(Gray, 1867)"	R
Francolinus rufopictus	"Reichenow, 1867"	R
Francolinus afer	"(M�ller, 1776)"	R
Francolinus swainsonii	"(Smith, 1836)"	R
Francolinus erckelii	"(R�ppell, 1835)"	R
Francolinus ochropectus	"Dorst & Jouanin, 1952"	R
Francolinus castaneicollis	"Salvadori, 1888"	R
Francolinus nobilis	"Reichenow, 1908"	R
Francolinus jacksoni	"Ogilvie-Grant, 1891"	R
Francolinus camerunensis	"Alexander, 1909"	R
Francolinus swierstrai	"(Roberts, 1929)"	R
Perdix perdix	"(Linnaeus, 1758)"	R
Perdix dauurica	"(Pallas, 1811)"	R
Perdix hodgsoniae	"(Hodgson, 1857)"	R
Rhizothera longirostris	"Ogilvie-Grant, 1905"	R
Margaroperdix madagascariensis	"(Scopoli, 1786)"	R
Melanoperdix niger	"(Vigors, 1829)"	R
Coturnix coturnix	"(Linnaeus, 1758)"	R
Coturnix japonica	"Temminck & Schlegel, 1849"	R
Coturnix pectoralis	"Gould, 1837"	R
Coturnix novaezelandiae	"Quoy & Gaimard, 1830"	R
Coturnix coromandelica	"(Gmelin, 1789)"	R
Coturnix delegorguei	"Delegorgue, 1847"	R
Coturnix ypsilophora	"Bosc, 1792"	R
Coturnix adansonii	"(Verreaux & Verreaux, 1851)"	NR
Coturnix chinensis	"(Linnaeus, 1766)"	NR
Coturnix chinensis	"(Linnaeus, 1766)"	R
Anurophasis monorthonyx	"van Oort, 1910"	R
Perdicula asiatica	"(Latham, 1790)"	R
Perdicula argoondah	"(Sykes, 1832)"	R
Perdicula erythrorhyncha	"(Sykes, 1832)"	R
Perdicula manipurensis	"(Hume, 1880)"	R
Ophrysia superciliosa	"(Gray, 1846)"	R
Xenoperdix udzungwensis	"Dinesen, Lehmberg, Svendsen, Hansen et al., 1994"	R
Xenoperdix obscurata	"Dinesen et al., 1994"	NR
Arborophila torqueola	"(Valenciennes, 1826)"	R
Arborophila rufogularis	"(Blyth, 1850)"	R
Arborophila atrogularis	"(Blyth, 1850)"	R
Arborophila crudigularis	"(Swinhoe, 1864)"	R
Arborophila mandellii	"Hume, 1874"	R
Arborophila brunneopectus	"(Blyth, 1855)"	R
Arborophila rufipectus	"Boulton, 1932"	R
Arborophila orientalis	"(Horsfield, 1821)"	NR
Arborophila orientalis	"(Horsfield, 1821)"	R
Arborophila sumatrana	"Ogilvie-Grant, 1891"	R
Arborophila rolli	"(Rothschild, 1909)"	R
Arborophila campbelli	"(Robinson, 1904)"	R
Arborophila javanica	"(Gmelin, 1879)"	R
Arborophila hyperythra	"(Sharpe, 1879)"	R
Arborophila gingica	"(Gmelin, 1789)"	R
Arborophila davidi	"Delacour, 1927"	R
Arborophila cambodiana	"Delacour & Jabouille, 1928"	R
Arborophila rubrirostris	"(Salvadori, 1879)"	R
Arborophila ardens	"(Styan, 1892)"	R
Arborophila merlini	"(Delacour & Jabouille, 1924)"	NR
Arborophila chloropus	"(Blyth, 1859)"	NR
Arborophila chloropus	"(Blyth, 1859)"	R
Arborophila charltonii	"(Eyton, 1845)"	R
Caloperdix oculeus	"(Temminck, 1815)"	R
Haematortyx sanguiniceps	"Sharpe, 1879"	R
Rollulus rouloul	"(Scopoli, 1786)"	R
Bambusicola fytchii	"Anderson, 1871"	R
Bambusicola thoracicus	"(Temminck, 1815)"	R
Galloperdix spadicea	"(Gmelin, 1789)"	R
Galloperdix lunulata	"(Valenciennes, 1825)"	R
Galloperdix bicalcarata	"(Forster, 1781)"	R
Ithaginis cruentus	"(Hardwicke, 1821)"	R
Tragopan melanocephalus	"(Gray, 1829)"	R
Tragopan satyra	"(Linnaeus, 1758)"	R
Tragopan blythii	"(Jerdon, 1870)"	R
Tragopan temminckii	"(Gray, 1831)"	R
Tragopan caboti	"(Gould, 1857)"	R
Pucrasia macrolopha	"(Lesson, 1829)"	R
Lophophorus impejanus	"(Latham, 1790)"	R
Lophophorus sclateri	"Jerdon, 1870"	R
Lophophorus lhuysii	"Geoffroy Saint-Hilaire, 1866"	R
Gallus gallus	"(Linnaeus, 1758)"	R
Gallus sonneratii	"Temminck, 1813"	R
Gallus lafayetii	"Lesson, 1831"	R
Gallus varius	"(Shaw, 1798)"	R
Lophura leucomelanos	"(Latham, 1790)"	R
Lophura nycthemera	"(Linnaeus, 1758)"	R
Lophura imperialis	"(Delacour & Jabouille, 1924)"	NR
Lophura edwardsi	"(Oustalet, 1896)"	R
Lophura hatinhensis	"Vo Quy & Do Ngoc Quang, 1965"	R
Lophura swinhoii	"(Gould, 1863)"	R
Lophura hoogerwerfi	"(Chasen, 1939)"	R
Lophura inornata	"(Salvadori, 1879)"	R
Lophura erythrophthalma	"(Raffles, 1822)"	R
Lophura ignita	"(Shaw, 1797)"	R
Lophura diardi	"(Bonaparte, 1856)"	R
Lophura bulweri	"(Sharpe, 1874)"	R
Crossoptilon harmani	"Elwes, 1881"	R
Crossoptilon crossoptilon	"(Hodgson, 1838)"	R
Crossoptilon mantchuricum	"Swinhoe, 1863"	R
Crossoptilon auritum	"(Pallas, 1811)"	R
Catreus wallichi	"(Hardwicke, 1827)"	R
Syrmaticus ellioti	"(Swinhoe, 1872)"	R
Syrmaticus humiae	"(Hume, 1881)"	R
